emp_basic_id,master_job_title_key,company_name,company_address,date_from,date_to,industry,salary,responsibilities
123,Application Developer,Acestar Solutions anf Trading Inc,Loakan Road Baguio City,2015-03-01,2017-11-01,IT,,
125,Tech Staff,Hexacom Ent,Banifacio Street Baguio City,2016-01-01,2017-01-01,,,
125,IT Staff,Its About Time Travel Services,Albergo Hotel Baguio City,2014-01-01,2015-01-01,,,
126,Application Developer,ASTI,Loakan Rd Baguio City,2014-11-01,2017-10-01,IT,,TI Bidding
126,Dallas Troubleshooter,Pythos,Loakan Rd Baguio City,2013-09-01,2014-11-01,IT,,TI Bidding
126,Apprentice,Texas Instrument,Loakan Rd Baguio City,2012-04-01,2012-09-01,Semiconductor,,End of Program
126,SEO Agent,Techno Dream,t. Alonzo Baguio City,2011-06-01,2011-12-01,Web Developer,,Family Matters
126,OJT,MOOG,Loakan Rd Baguio City,2010-01-01,2010-01-01,Aerial manufacturing,,End of Program
127,Application Develpoer,Acestar Solutions and Trading Inc,Peza utility bldg. Loakan Road Baguio City,2016-04-01,2017-11-01,IT,,
127,IT Assistant/Admin,Linkage Web Development,"3rd Floor NBV Bldg. Bonifacio Street, Baguio City",2014-09-01,2015-10-01,IT,,
128,Application Developer,Acestar Solution and Trading Inc.,Loakan Rd. Baguio City,2016-01-01,2017-11-01,I.T Services,,End of Contract
129,Application Developer,Acestar,"Norwegian PEZA Utility BLDG, Loakan Rd",2016-01-01,2017-10-01,,,
130,Application Develoer,A.S.T.I,Loakan Baguio City,2017-09-01,2017-11-01,,15000,
131,Human Resource Assistant,Baguio Country Club,"Baguio Country Club, Baguio City",2017-06-01,2017-09-01,Hotel Industry,8000,Reliever
131,Administrative and Clerical Support,Department Of Labor and Employment,Cabinet Hill Baguio City,2017-11-01,2017-12-01,Government,10000,Reliever
132,Computer,,,,,,,
133,EA TO CEO,Pacificall,New Lucban Baguio City,2017-04-01,2017-01-01,BPO,,
133,IT service Desk Assistant,CIIT PHIL,"Timog, Quezon City",2016-02-01,2017-04-01,Education,,
134,Ex Truck Salesman,Napintas Logistics & Distribution,"Camp 7, Baguio City",2017-01-01,2018-03-01,Distributor,9600,Resigned
134,Service Advisor,Toyota Baguio,"Bokawkan Road, Baguio City",2014-11-01,2016-11-01,Automotive,7930,Resigned
134,Job Controller,Toyota Baguio,"Bokawcan Road, Baguio City",2013-04-01,2014-11-01,Automotive,7800,Promotion
134,Sales & Marketing,Texas Instrument,"Loakan, Baguio City",2012-06-01,2012-11-01,Semi Conductor,7800,Apprenticeship
135,AR analyst,Newest Food Marketing,"Lower Ferguson Road, Guisad Baguio City",2015-09-01,2018-04-01,Distributor,11000,unhealthy Working Environment
135,Encoder,Newest Food Marketing,"Lower Ferguson Road, Guisad Baguio City",2012-04-01,2015-09-01,Distributor,9000,Promoted
135,Encoder,DSWD,Cabinet Hill Baguio City,2012-01-01,2012-03-01,Government,5000,Contractual
135,General Transcriptionist,Tech Synergy,Cabinet Hill,2010-04-01,2011-01-01,Transcription,6000,part time
137,sms coordinator,ACESTAR,Loakan Baguio,2014-08-01,2018-03-01,,,
138,Software Engineer- JAVA,WIPRO,Quezon City,2017-05-01,2018-01-01,"IT, Manufacturing",40000,
138,Software Engineer- JAVA,Collabera,Makati City,2015-08-01,2017-05-01,"IT, Manufacturing",40000,
138,Application Developer- WS,IBM,Quezon City,2014-12-01,2015-06-01,"IT, Banking & Finance",40000,
138,Application Developer,Gofluent,Quezon City,2013-12-01,2014-12-01,Education,28000,
